第 1 條,交通部中央氣象署地震測報中心（以下簡稱本中心）為處理內部單位之分工職掌，特訂定本細則。
第 2 條,主任綜理中心業務，並指揮、監督所屬人員；副主任襄助主任處理中心業務。
第 3 條,本中心設下列科：一、綜合規劃科。二、地震監測科。三、地震資料科。四、地震系統科。五、測報技術科。六、地球物理科。
第 4 條,綜合規劃科掌理事項如下：一、地震測報業務施政計畫、科技計畫、預算與出國計畫之提報及管制考核。二、地震科技計畫之委辦、會議召開及合作交流。三、為民服務相關業務、地震防災教育宣導之規劃及執行。四、文書及檔案之管理。五、地震測報及防救災業務之規劃；行政規則之訂定、聯繫及執行。六、其他有關綜合規劃事項。
第 5 條,地震監測科掌理事項如下：一、有感地震報告、海嘯警報、火山噴發訊息等資訊發布業務之規劃及執行。二、地震測報系統與作業之建置、管理及維運。三、二十四小時地震守視業務之規劃、聯繫、執行及督導。四、地震、海嘯及火山等相關重大事件之資訊彙整。五、其他有關地震監測事項。
第 6 條,地震資料科掌理事項如下：一、地震資料之處理、備份及統計。二、地震資料處理系統與作業之建置、管理及維運。三、地震資料庫索引檔案之整理及更新。四、地震季報及年報之編纂。五、特殊地震活動觀測之分析；每月地震活動例行分析報告之撰寫。六、其他有關地震資料事項。
第 7 條,地震系統科掌理事項如下：一、地震與地球物理儀器之採購、管理及維運。二、地震與地球物理站房之場址規劃、勘選、建置、管理及維運。三、地震與地球物理資料之傳輸線路申請、管理及維運。四、中心電力空調消防設備之建置、管理及維運。五、庫房及財產之管理。六、其他有關地震系統事項。
第 8 條,測報技術科掌理事項如下：一、地震測報技術之研發、轉移及支援。二、即時地震站資料之傳輸及接收；整合系統之建置、管理及維運。三、資料服務展示系統與地球物理資料庫管理系統之建置、管理及維運。四、資訊系統及設備之安全、管理、維運。五、其他有關測報技術事項。
第 9 條,地球物理科掌理事項如下：一、地球物理資料之處理、備份及提供。二、地球物理系統之建置、管理及維運。三、地球物理觀測資料之綜合分析。四、地震前兆之分析技術研發。五、其他有關地球物理事項。
第 10 條,本中心處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
第 11 條,本細則自中華民國一百十二年九月十五日施行。
