第 1 條,本條例依交通部高雄港務局組織條例第十五條規定制定之。
第 2 條,交通部高雄港務局安平港分局（以下簡稱本分局）掌理下列事項：一、港灣設施、船舶指泊、信號指揮、船舶檢丈及監理、海事評議、港灣導航設施管理及港區環境衛生保護等事項。二、港埠業務規劃與研發、資訊管理、港埠營運與收費及棧埠營運等事項。三、港埠工程規劃、設計發包督導、機電規劃設計及維修管理等事項。四、港區土地之運用發展、經管、使用及出租收益等事項。五、其他有關局務事項。
第 3 條,本分局設三課，分別掌理前條所列事項。
第 4 條,本分局設秘書室，掌理研考、議事、公共關係、檔案、印信、出納、事務管理、財產管理及不屬於其他各課、室事項。
第 5 條,本分局置分局長一人，綜理局務，並指揮監督所屬員工；副分局長一人，襄理局務。
第 6 條,本分局置課長三人，其中一人由副工程司或幫工程司以上人員兼任；室主任一人，副工程司一人，幫工程司二人，工務員二人，技士三人，課員七人，技佐一人，辦事員六人，書記五人，小船駕駛一人，事務士七人，操作士二人，船士一人。
第 7 條,本分局置人事管理員一人，由高雄港務局派員兼任，依法辦理人事管理事項。
第 8 條,本分局置會計員一人，其資位依交通事業人員資位職務薪給表之規定，或職務列委任第五職等至薦任第七職等，依法辦理歲計、會計及統計事項。
第 9 條,本條例所列各職稱之資位，依交通事業人員資位職務薪給表之規定。原適用公務人員任用法之人事、會計人員各職稱之官等、職等，除本條例另有規定外，得依公務人員任用法有關職務列等表之規定。
第 10 條,本分局人員之任用，適用交通事業人員任用條例。但人事、會計人員之任用，並應適用人事、會計人員任用相關規定。本分局原依公務人員任用法任用之現職人員，得繼續適用相關規定至離職時為止。
第 11 條,本分局辦事細則，由本分局擬訂，層報交通部核定之。
第 12 條,本條例施行日期，由行政院以命令定之。
