第 1 條,為便利臺灣地區商港戰時船舶及港勤車船機具油料用水之供應，並顧慮其設備遭受損壞，冀謀補救起見，特訂定本辦法。
第 2 條,軍用船舶所需各種油料，由國防部就軍事需要核定數量交由中國石油股份有限公司（以下簡稱中油公司）代為保管，戰時由各軍事單位循補給系統逕向中油公司儲油單位提領。
第 3 條,公私船舶所需各種油料，由中油公司依動員時期油料配售辦法有關規定辦理。
第 4 條,各港港勤車船機具所需油料，由港務局於每月十日前填具次三個月需要油料申請書送交中油公司核轉物資動員主管機關核定，由中油公司供應之。
第 5 條,公私船舶及港勤車船機具因搶救商港災禍所需油料，憑該港港務局通知供應，軍用船舶用油價款由所在地海軍軍區司令部、或海軍基地指揮部負責償付，公私船舶由港務局先行墊付，再依有關規定收回之。
第 6 條,中油公司應依石油動員計畫，在各庫站屯儲各項供油設備及搶修器材並組設搶修、作業、防護等隊。商港搶修事宜，依臺灣地區各商港（含輔助港）戰時港灣設施搶修責任劃分表之規定辦理。
第 7 條,中油公司各港儲油單位應訂定戰時油料屯備、供應之應變措施報經中油公司核定後依狀況需要主動實施之。
第 8 條,為適應戰時需要，軍事單位應自行預籌必要桶裝油料，分屯各港郊區，專供軍用。
第 9 條,在正常狀況下，船艦在港油料供應之順序如左：一、作戰艦艇。二、軍運船舶及港勤車船機具。三、軍援物資船舶。四、經援物資船舶。五、維持本港海運船舶。六、緊急公私船舶。七、定期班輪（以青菜船為優先）。八、一般公私船舶。
第 10 條,在緊急狀況或在港存油不足時，同類任務船艦油料供應之順序如左：一、前方作戰艦艇回港加油者（包括運補艦艇）。二、軍用商船及支援前方運輸之港勤船舶車機。三、其他艦艇（指後勤及港務艦艇）。四、公私船舶。前項第一款至第三款之同任務同類船艦油料供應順序如左。但必要時得由該港海軍軍區司令部或海軍基地指揮部召集港口軍事運輸單位、港務局、中油公司在港儲油單位會商變更之。一、大艦先於小艦。二、作戰艦先於後勤艦。三、登陸艦先於運輸艦。四、運輸艦先於港勤艦。
第 11 條,各港自來水事業單位應於平時依港務局供水之需求（含軍事單位需求數）完成各項儲（供）水設施，並組設搶修隊及準備搶修器材，其搶修依第六條第二項規定辦理。
第 12 條,戰時在港船舶得視情況需要按水艙容量，預為屯儲，所有給水船舶亦應加滿備用。
第 13 條,給水設備遭受損壞時，碼頭上由自來水事業單位優先搶修，給水船舶由港務局優先搶修。前項損壞嚴重，一時無法修護時，依左列規定辦理：一、自來水事業單位應儘速調整碼頭上管線優先供應。二、港務局應利用駁船、台船供應。
第 14 條,儲水設備或水源地遭受損壞時，自來水事業單位除設法搶修並利用其他水源供應外，對市區用水應予適當管制，以資撙節。
第 15 條,本辦法自發布日施行。
